id,text_excerpt,verdict
uk_001,"м, що відразу ж надасть Москві незаперечні докази в усіх судових позовах, пов’язаних із кризою навколо України. Він підкреслює, що «сама історія з Кримом не оформлена з точки зору міжнародного права. Крим наш, але оформлений він як приєднання в результаті волевиявлення, а за міжнародним правом це не чинне. За міжнародним правом правовими вважаються лише кордони за підсумками 1945-го. Всі відступи від цих кордонів, навіть через референдуми, є нелегітимними». Іншими словами, з одного боку п. Федор",
uk_002,"ривезти і встановити свої або взяти намети напрокат в кемпінгу. У наметовому таборі є прокат необхідного спорядження — наметів, спальних мішків і туристичних килимків Розташування наметового табору — Республіка Крим Південний берег Криму місто Алушта. Наметовий табір знаходиться в Східній частині Алушти — Судакське кільце. На східному схилі балки Аюагач-в пер оді Ведмежа миля, сусідує з балкою Алакоз. Сам наметовий табір стоїть в лісі на краю садів і виноградників. Від табору йдуть лісові дороги",
uk_003,"енні війни повернулася в Україну. Розшукує подруга з Франції Аделін ВІРЖІНАЛІ. (№ 28467/14) МУСТАФАЄВИ (МУСТАФЄЄВИ) Анвар та Раїса. 1922-1925 р. н., уродженці Карасубазара, що в Білогірському районі, Республіка Крим. Розшукує племінниця з Франції ФОШУА Катя, дочка депортованої до Німеччини сестри. (№ 45240/14) СОМОХЕНКО Георгій Іванович (псевдонім – ТЕПЛЯКОВ Євген). Народився 3.07.1925 р., уродженець с-ща Сокол, Польща. Розшукує громадянка Бельгії ШИМУСИК Маріанна. (№ 33935/14) КОВІКА Наталя Фед",
uk_004,"я, 2018, 17:38 У прямому ефірі телеканалу “Россия 1” Ольга Скабєєва зателефонувала до загиблої дівчини із Керчі Про це повідомляє видання телеканал ""Дождь"". 17 жовтня, коли трапилась трагедія у місті Керч, російська журналістка Ольга Скабєєва взяла у прямому ефірі телеканалу “Россия 1” інтерв'ю у дівчини, яку представила як Аліну Керову. Фото чи відео дівчини при цьому у студії не показували. Але дівчина із таким ім'ям та прізвищем пізніше виявилася у списку загиблих. Кореспонденти ""Fake News"" т",
uk_005,"воїх картах в склад Росії (насправді, Яндекс ще думає) Олег Дмитренко · 19 Березня 2014 · 4 Російські інтернет-компанії Mail.ru Group і Яндекс розпочали оновлення своїх картографічних сервісів. Тепер Республіка Крим відображатиметься як територія Російської Федерації, а не України Одноклассники тепер будуть знати всі фотографії, на яких ви зображені Ольга Мінченко · 21 листопадаа 2013 · 0 Однокласники почали автоматично розпізнавати обличчя своїх користувачів на фотографіях. Соціальна мережа впр",
uk_006,"і Криму є діяльністю, спрямованою на підрив територіальної цілісності України. Зокрема, у наданих прокуратурою свідченнях свідків стверджується, що Михальчевський сприяв організації ""референдуму"" за ""приєднання Криму до Росії"". На даний момент суддя Ярослав Мусулевский пішов у дорадчу кімнату для ухвалення рішення. Читайте також: Суд обирає запобіжний захід кримському ""екс-міністру"" В рамках кримінального провадження за статтями 110, 111 Кримінального кодексу України у його тимчасовому житлі в с",
uk_007,"важливий вибір - портал новин LB.ua Головна — Політика — 18 березня 2014, 13:17 Путін: понад 95% кримчан зробили свій життєво важливий вибір Президент РФ пообіцяв три державні мови Фото: стоп-кадр RT Приєднання Криму до Росії - життєво важливе, історичне рішення. Такими словами президент Росії Володимир Путін почав своє звернення до депутатів Державної думи, членів Ради Федерації, керівників регіонів Росії та представників громадянського суспільства. ""16 березня пройшов референдум, який відповід",
uk_008,"ародному комітеті Європарламенту, передає РБК-Україна. Збільшення американського внеску в оборону Європи, нарощування військових витрат НАТО і військове підсилення східного флангу альянсу є наслідком приєднання Криму до Росії та інших дій РФ щодо України. Читайте такожНАТО не буде спокійно спостерігати за ядерними погрозами Росії - Столтенберг Столтенберг сказав, що Сполучені Штати відповіли на російську агресію в Україні мультиміліардним внеском, щоб гарантувати безпеку Європи. ""Раніше в лютому",
uk_009,"Надія Дорофеєва - Кінобаза Дата народження: 21 квітня 1990 (28 років) Місце народження: Simferopol, Krymskaya oblast, Ukrainian SSR, USSR [now Crimea, Russia] у ролі Olena Середня оцінка: 0.0 / 0 6.4 / 309",
uk_010,"числі інших респондентам ставиться питання про те, що саме повинен запропонувати кандидат, щоб учасник прийшов на вибори. Серед різних варіантів відповідей пропонується вибрати й такі: «Підтримувати приєднання Криму до Росії» і «Наполягати на зближенні РФ із Заходом». Анкету відкрито фотографувати соціологи не дозволяють. Як вже стало відомо, на акції «Набрид», учасники якої закликають чинного президента Росії Володимира Путіна не брати участь в наступних президентських виборах, в Санкт-Петербу",
uk_011,ізьких земель Нової (Підпільненської) Січі. Ліквідація Запорізької Січі. П. Калнишевський. Доля запорожців після ліквідації Запорізької Січі. Заселення Південної України. Кримське ханство в XVIII ст. Приєднання Криму до Росії. Особливості розвитку культури в другій по­ловині XVIII ст. Освіта. Внесок Киево-Могилянської академії в культурно-освітній розвиток. Книговидання та розвиток літератури. Розвиток філософських Ідей. Г. Сковорода. Природничі науки. Музика. Театр. Архітектура. Скульптура. Гра,
uk_012,Севастополь - сайт міста :: Народний фронт „Севастополь-Крим-Росія” звертається до президента із закликом розпустити ВР,
uk_013,"на якій були представлені світлини, що розповідають про життя депортованих кримських татар на Уралі, в Сибіру, в Узбекистані. Також учасники заходу переглянули документальний фільм «Кримські татари: «Крим наш! Фільм 2» (автор Сергій Братішко та режисер Петро Мироненко. Україна). Героями стрічки стали свідки депортації. Крім того, автори стрічки поспілкувалися із Мустафою Джемілєвим і Зеврі Куртбедіновим. Це політв’язні, учасники кримськотатарського політичного руху. Вони відверто розповіли про д",
uk_014,"лену економіку можливості розвиватися. Приєднання Криму послужило багатьом військовим і державним цілям Росії. Однак для свого народу його піднесли як історію про повернення додому, і сьогодні гасло «Крим наш» зараз ретельно прибите до душі народу. А оскільки міжнародний закон і суспільство думає про це зовсім інакше, Крим є перешкодою для нормального діалогу Росії з рештою світу. Росіянам твердять одне, а решта світу стверджує інше. Для подібної ситуації легкого рішення годі й шукати. Теги: Кри",
uk_015,"вно зрозуміли, що ніяких виборів насправді немає«. Прочитати повністю виття зрадників можна за посиланням. Екстремістський опитування на євпаторійському паблике: «Особисто у вас змінилася життя після приєднання Криму до росії?». Відповіді: “Так, якось невизначено. В хорошу чи погану сторону, але у всіх змінюється життя», «Вона навіть змінювалася і без приєднання», «І дод. опитування — а у кого в хорошу сторону?? P. S. — не в мене», «Ради, звичайно, але при Україні бабла на довше вистачало«, «По",
uk_016,"робив вчора ввечері, спілкуючись з журналістами у Чернівецькій області. «Ще давно, перед закінченням президентського терміну, я заявив, що хотів би глянути на Україну без Кучми. І зараз ми бачимо це. Крим наша країна вже втратила. Повернути його, як мені здається, вже просто нереально. Російська Федерація в цьому питанні пішла ва-банк і вона вже ніколи не віддасть півострів. В даний момент гостро ситуація стоїть на Донбасі. Для нового президента країни головне завдання – зберегти Донбас у складі",
uk_017,"ї на території Криму і тим самим вчинив держзраду. Кримський політик називає звинувачення необґрунтованими й заявляє, що він був єдиним депутатом, який проголосував проти проведення «референдуму» про приєднання Криму до Росії. Суд у справі Ганиша почався в серпні 2015 року. У лютому 2017 року, коли до винесення вироку залишалося кілька засідань, Вища рада правосуддя усунула голову суддівської колегії Олександра Федюка. Був обраний новий головуючий у справі, і суд над Ганишем почався заново.",
uk_018,"ному референдумі Нагадаємо, згідно з офіційними даними референдуму, явка в Криму (без урахування Севастополя, де проводили окремий референдум) становила 83,1% виборців, і 96,77% із них висловилися за приєднання Криму до Росії. 18 квітня 2016, 10:41",
uk_019,"Три кримських політика хочуть балотуватися від ЕР в депутати Держдуми | Три кримських політика хочуть балотуватися від ЕР в депутати Держдуми Кримський федеральний округ вперше буде брати участь у виборах в Держдуму. Заяви на участь у попередньому голосуванні за визначенням кандидатів в депутати від «Єдиної Росії» подали перший Костянтин Бахарєв, Андрій Козенко та Світлана Савченко. Три кримських політика виявили бажання балотуватися в де",
uk_020,"астроїв в окупованому Криму проводилося у 2015 році компанією GFK на замовлення проекту Free Crimea українського політтехнолога Тараса Березовця. За його даними, 82% населення півострова підтримують «приєднання Криму до Росії». Це дослідження проводилося за допомогою телефонного опитування, коли ще зберігався стаціонарний телефонний зв'язок з окупованим Кримом. Але воно має суттєву похибку. Бо на той час у Криму вже панували російська силова система і репресивне законодавство, за яким заклики до",
