[2026-04-12T18:40:39.258813+00:00] C4 EN files 0-127
  File 0000: 281 Crimea (tot:281 RU=5 UA=27 356,317docs 13s)
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0001: 249 Crimea (tot:530 RU=7 UA=51 712,635docs 35s)
  File 0002: 281 Crimea (tot:811 RU=8 UA=86 1,068,952docs 58s)
  File 0003: 275 Crimea (tot:1086 RU=13 UA=110 1,425,269docs 92s)
  File 0004: 278 Crimea (tot:1364 RU=16 UA=128 1,781,586docs 138s)
  File 0005: 270 Crimea (tot:1634 RU=20 UA=166 2,137,904docs 183s)
  File 0006: 261 Crimea (tot:1895 RU=22 UA=194 2,494,221docs 229s)
  File 0007: 285 Crimea (tot:2180 RU=25 UA=219 2,850,538docs 268s)
  File 0008: 282 Crimea (tot:2462 RU=28 UA=244 3,206,855docs 297s)
  File 0009: 268 Crimea (tot:2730 RU=31 UA=275 3,563,173docs 320s)
  File 0010: 285 Crimea (tot:3015 RU=38 UA=307 3,919,490docs 355s)
  File 0011: 241 Crimea (tot:3256 RU=39 UA=332 4,275,807docs 401s)
  File 0012: 261 Crimea (tot:3517 RU=43 UA=364 4,632,125docs 438s)
  File 0013: 293 Crimea (tot:3810 RU=45 UA=393 4,988,442docs 484s)
  File 0014: 276 Crimea (tot:4086 RU=50 UA=425 5,344,759docs 529s)
  File 0015: 276 Crimea (tot:4362 RU=55 UA=454 5,701,076docs 573s)
  File 0016: 272 Crimea (tot:4634 RU=59 UA=477 6,057,394docs 618s)
  File 0017: 263 Crimea (tot:4897 RU=61 UA=504 6,413,711docs 668s)
  File 0018: 287 Crimea (tot:5184 RU=61 UA=537 6,770,028docs 704s)
  File 0019: 252 Crimea (tot:5436 RU=63 UA=559 7,126,346docs 747s)
  File 0020: 268 Crimea (tot:5704 RU=65 UA=581 7,482,663docs 787s)
  File 0021: 308 Crimea (tot:6012 RU=69 UA=621 7,838,980docs 834s)
  File 0022: 253 Crimea (tot:6265 RU=72 UA=648 8,195,297docs 856s)
  File 0023: 307 Crimea (tot:6572 RU=78 UA=673 8,551,615docs 884s)
  File 0024: 250 Crimea (tot:6822 RU=80 UA=702 8,907,932docs 930s)
  File 0025: 268 Crimea (tot:7090 RU=82 UA=720 9,264,249docs 976s)
  File 0026: 246 Crimea (tot:7336 RU=83 UA=746 9,620,566docs 1014s)
  File 0027: 267 Crimea (tot:7603 RU=90 UA=767 9,976,884docs 1064s)
  File 0028: 282 Crimea (tot:7885 RU=93 UA=801 10,333,201docs 1105s)
  File 0029: 272 Crimea (tot:8157 RU=94 UA=821 10,689,518docs 1148s)
  File 0030: 280 Crimea (tot:8437 RU=97 UA=851 11,045,836docs 1186s)
  File 0031: 263 Crimea (tot:8700 RU=98 UA=881 11,402,153docs 1238s)
  File 0032: 275 Crimea (tot:8975 RU=100 UA=913 11,758,470docs 1277s)
  File 0033: 264 Crimea (tot:9239 RU=103 UA=938 12,114,787docs 1308s)
  File 0034: 268 Crimea (tot:9507 RU=108 UA=964 12,471,105docs 1339s)
  File 0035: 274 Crimea (tot:9781 RU=111 UA=994 12,827,422docs 1385s)
  File 0036: 285 Crimea (tot:10066 RU=115 UA=1020 13,183,739docs 1431s)
  File 0037: 265 Crimea (tot:10331 RU=119 UA=1054 13,540,057docs 1467s)
  File 0038: 269 Crimea (tot:10600 RU=123 UA=1074 13,896,374docs 1503s)
  File 0039: 283 Crimea (tot:10883 RU=126 UA=1107 14,252,691docs 1643s)
