[2026-04-12T18:40:39.257153+00:00] C4 EN files 896-1023
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0896: 282 Crimea (tot:282 RU=0 UA=26 356,318docs 52s)
  File 0897: 318 Crimea (tot:600 RU=3 UA=57 712,635docs 100s)
  File 0898: 264 Crimea (tot:864 RU=8 UA=81 1,068,952docs 138s)
  File 0899: 282 Crimea (tot:1146 RU=10 UA=112 1,425,270docs 185s)
  File 0900: 253 Crimea (tot:1399 RU=11 UA=138 1,781,587docs 217s)
  File 0901: 286 Crimea (tot:1685 RU=16 UA=164 2,137,904docs 237s)
  File 0902: 270 Crimea (tot:1955 RU=19 UA=183 2,494,221docs 272s)
  File 0903: 283 Crimea (tot:2238 RU=25 UA=211 2,850,539docs 317s)
  File 0904: 279 Crimea (tot:2517 RU=31 UA=238 3,206,856docs 344s)
  File 0905: 285 Crimea (tot:2802 RU=33 UA=258 3,563,173docs 368s)
  File 0906: 276 Crimea (tot:3078 RU=33 UA=282 3,919,491docs 397s)
  File 0907: 284 Crimea (tot:3362 RU=35 UA=308 4,275,808docs 439s)
  File 0908: 271 Crimea (tot:3633 RU=40 UA=333 4,632,125docs 485s)
  File 0909: 264 Crimea (tot:3897 RU=41 UA=355 4,988,442docs 529s)
  File 0910: 264 Crimea (tot:4161 RU=44 UA=384 5,344,760docs 578s)
  File 0911: 281 Crimea (tot:4442 RU=46 UA=419 5,701,077docs 612s)
  File 0912: 283 Crimea (tot:4725 RU=47 UA=451 6,057,394docs 665s)
  File 0913: 270 Crimea (tot:4995 RU=51 UA=485 6,413,711docs 707s)
  File 0914: 289 Crimea (tot:5284 RU=57 UA=500 6,770,029docs 757s)
  File 0915: 262 Crimea (tot:5546 RU=59 UA=530 7,126,346docs 805s)
  File 0916: 296 Crimea (tot:5842 RU=62 UA=559 7,482,663docs 840s)
  File 0917: 283 Crimea (tot:6125 RU=65 UA=593 7,838,981docs 886s)
  File 0918: 291 Crimea (tot:6416 RU=66 UA=626 8,195,298docs 930s)
  File 0919: 264 Crimea (tot:6680 RU=70 UA=652 8,551,615docs 966s)
  File 0920: 272 Crimea (tot:6952 RU=74 UA=678 8,907,932docs 1012s)
  File 0921: 275 Crimea (tot:7227 RU=75 UA=710 9,264,250docs 1057s)
  File 0922: 257 Crimea (tot:7484 RU=79 UA=735 9,620,567docs 1078s)
  File 0923: 272 Crimea (tot:7756 RU=84 UA=764 9,976,884docs 1116s)
  File 0924: 251 Crimea (tot:8007 RU=84 UA=795 10,333,202docs 1152s)
  File 0925: 290 Crimea (tot:8297 RU=88 UA=825 10,689,519docs 1183s)
  File 0926: 246 Crimea (tot:8543 RU=90 UA=843 11,045,836docs 1204s)
  File 0927: 284 Crimea (tot:8827 RU=93 UA=867 11,402,153docs 1242s)
  File 0928: 305 Crimea (tot:9132 RU=97 UA=897 11,758,471docs 1272s)
  File 0929: 270 Crimea (tot:9402 RU=99 UA=930 12,114,788docs 1307s)
  File 0930: 276 Crimea (tot:9678 RU=102 UA=959 12,471,105docs 1344s)
  File 0931: 272 Crimea (tot:9950 RU=106 UA=991 12,827,422docs 1390s)
  File 0932: 265 Crimea (tot:10215 RU=108 UA=1021 13,183,740docs 1431s)
  File 0933: 266 Crimea (tot:10481 RU=110 UA=1047 13,540,057docs 1468s)
  File 0934: 286 Crimea (tot:10767 RU=112 UA=1075 13,896,374docs 1501s)
  File 0935: 297 Crimea (tot:11064 RU=115 UA=1104 14,252,692docs 1626s)
  File 0936: 302 Crimea (tot:11366 RU=116 UA=1132 14,609,009docs 1652s)
  File 0937: 269 Crimea (tot:11635 RU=122 UA=1152 14,965,326docs 1690s)
  File 0938: 276 Crimea (tot:11911 RU=127 UA=1177 15,321,643docs 1749s)
  File 0939: 281 Crimea (tot:12192 RU=131 UA=1211 15,677,961docs 1796s)
  File 0940: 271 Crimea (tot:12463 RU=134 UA=1247 16,034,278docs 1846s)
  File 0941: 277 Crimea (tot:12740 RU=138 UA=1281 16,390,595docs 1896s)
  File 0942: 270 Crimea (tot:13010 RU=141 UA=1308 16,746,913docs 1960s)
  File 0943: 277 Crimea (tot:13287 RU=141 UA=1331 17,103,230docs 2013s)
  File 0944: 307 Crimea (tot:13594 RU=142 UA=1361 17,459,547docs 2056s)
  File 0945: 289 Crimea (tot:13883 RU=144 UA=1389 17,815,864docs 2093s)
  File 0946: 259 Crimea (tot:14142 RU=148 UA=1424 18,172,182docs 2129s)
  File 0947: 269 Crimea (tot:14411 RU=150 UA=1450 18,528,499docs 2167s)
  File 0948: 245 Crimea (tot:14656 RU=152 UA=1470 18,884,816docs 2197s)
  File 0949: 246 Crimea (tot:14902 RU=157 UA=1495 19,241,133docs 2223s)
  File 0950: 296 Crimea (tot:15198 RU=161 UA=1528 19,597,451docs 2274s)
  File 0951: 279 Crimea (tot:15477 RU=164 UA=1554 19,953,768docs 2321s)
  File 0952: 265 Crimea (tot:15742 RU=167 UA=1579 20,310,085docs 2370s)
  File 0953: 256 Crimea (tot:15998 RU=171 UA=1604 20,666,403docs 2664s)
  File 0954: 268 Crimea (tot:16266 RU=173 UA=1624 21,022,720docs 2705s)
  File 0955: 294 Crimea (tot:16560 RU=177 UA=1657 21,379,037docs 2745s)
