[2026-04-12T18:40:39.269067+00:00] C4 EN files 256-383
  File 0256: 276 Crimea (tot:276 RU=4 UA=28 356,317docs 50s)
  File 0257: 264 Crimea (tot:540 RU=7 UA=57 712,635docs 89s)
  File 0258: 291 Crimea (tot:831 RU=9 UA=84 1,068,952docs 138s)
  File 0259: 281 Crimea (tot:1112 RU=14 UA=109 1,425,269docs 175s)
  File 0260: 264 Crimea (tot:1376 RU=20 UA=128 1,781,586docs 195s)
  File 0261: 270 Crimea (tot:1646 RU=24 UA=155 2,137,904docs 225s)
  File 0262: 280 Crimea (tot:1926 RU=26 UA=178 2,494,221docs 259s)
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0263: 281 Crimea (tot:2207 RU=33 UA=205 2,850,538docs 281s)
  File 0264: 304 Crimea (tot:2511 RU=35 UA=239 3,206,855docs 311s)
  File 0265: 274 Crimea (tot:2785 RU=39 UA=262 3,563,173docs 345s)
  File 0266: 273 Crimea (tot:3058 RU=44 UA=292 3,919,490docs 395s)
  File 0267: 300 Crimea (tot:3358 RU=48 UA=323 4,275,807docs 442s)
  File 0268: 273 Crimea (tot:3631 RU=50 UA=349 4,632,125docs 473s)
  File 0269: 280 Crimea (tot:3911 RU=55 UA=378 4,988,442docs 493s)
  File 0270: 288 Crimea (tot:4199 RU=58 UA=403 5,344,759docs 529s)
  File 0271: 257 Crimea (tot:4456 RU=62 UA=431 5,701,076docs 577s)
  File 0272: 242 Crimea (tot:4698 RU=67 UA=452 6,057,394docs 607s)
  File 0273: 299 Crimea (tot:4997 RU=68 UA=486 6,413,711docs 638s)
  File 0274: 280 Crimea (tot:5277 RU=75 UA=509 6,770,028docs 668s)
  File 0275: 277 Crimea (tot:5554 RU=77 UA=542 7,126,346docs 716s)
  File 0276: 268 Crimea (tot:5822 RU=79 UA=566 7,482,663docs 757s)
  File 0277: 269 Crimea (tot:6091 RU=82 UA=589 7,838,980docs 790s)
  File 0278: 290 Crimea (tot:6381 RU=87 UA=613 8,195,297docs 821s)
